run_id,retriever,reference_run_id,metric,is_primary,mean_diff,ci_lower,ci_upper,p_value_raw,p_value_adjusted,n_shared_queries,verdict
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,bm25__whole_document,ndcg_at_10,True,0.0225276634436278,-0.014712131940036665,0.06000564803315725,0.23607639236076391,0.7082291770822917,300,indistinguishable
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,bm25__whole_document,recall_at_1,False,0.01038888888888889,-0.042777777777777776,0.06316944444444442,0.7015298470152985,n/a,300,n/a
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,bm25__whole_document,recall_at_5,False,0.017722222222222223,-0.028394444444444437,0.06344444444444446,0.46195380461953806,n/a,300,n/a
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,bm25__whole_document,recall_at_10,False,0.04822222222222222,0.004327777777777783,0.09244444444444445,0.030296970302969704,n/a,300,n/a
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,bm25__whole_document,recall_at_20,False,0.021722222222222226,-0.021555555555555553,0.0658347222222222,0.3237676232376762,n/a,300,n/a
all-MiniLM-L6-v2__fixed_window,all-MiniLM-L6-v2,bm25__whole_document,mrr_at_10,False,0.013937830687830685,-0.02672496693121693,0.05544203042328043,0.5067493250674933,n/a,300,n/a
all-MiniLM-L6-v2__sentence_window,all-MiniLM-L6-v2,bm25__whole_document,ndcg_at_10,True,0.01081866656642242,-0.02746624632267238,0.05014433785787752,0.5777422257774223,1.0,300,indistinguishable
all-MiniLM-L6-v2__sentence_window,all-MiniLM-L6-v2,bm25__whole_document,recall_at_1,False,0.0008333333333333334,-0.049451388888888885,0.05111111111111111,0.9838016198380162,n/a,300,n/a
all-MiniLM-L6-v2__sentence_window,all-MiniLM-L6-v2,bm25__whole_document,recall_at_5,False,0.005333333333333332,-0.04377777777777778,0.05478055555555552,0.8389161083891611,n/a,300,n/a
all-MiniLM-L6-v2__sentence_window,all-MiniLM-L6-v2,bm25__whole_document,recall_at_10,False,0.025722222222222223,-0.018555555555555554,0.06988888888888889,0.25607439256074394,n/a,300,n/a
all-MiniLM-L6-v2__sentence_window,all-MiniLM-L6-v2,bm25__whole_document,recall_at_20,False,0.027388888888888897,-0.013499999999999996,0.0685,0.20007999200079993,n/a,300,n/a
all-MiniLM-L6-v2__sentence_window,all-MiniLM-L6-v2,bm25__whole_document,mrr_at_10,False,0.006119047619047621,-0.035030588624338624,0.04716709656084653,0.7793220677932207,n/a,300,n/a
all-MiniLM-L6-v2__whole_document,all-MiniLM-L6-v2,bm25__whole_document,ndcg_at_10,True,-0.006810937180470192,-0.04486922633203296,0.030668476135697176,0.7314268573142686,1.0,300,indistinguishable
all-MiniLM-L6-v2__whole_document,all-MiniLM-L6-v2,bm25__whole_document,recall_at_1,False,-0.025166666666666667,-0.07833333333333334,0.027891666666666627,0.3638636136386361,n/a,300,n/a
all-MiniLM-L6-v2__whole_document,all-MiniLM-L6-v2,bm25__whole_document,recall_at_5,False,0.009500000000000005,-0.03794861111111111,0.057168055555555534,0.6988301169883012,n/a,300,n/a
all-MiniLM-L6-v2__whole_document,all-MiniLM-L6-v2,bm25__whole_document,recall_at_10,False,0.009333333333333336,-0.035666666666666666,0.05433333333333334,0.6893310668933107,n/a,300,n/a
all-MiniLM-L6-v2__whole_document,all-MiniLM-L6-v2,bm25__whole_document,recall_at_20,False,0.005055555555555558,-0.03933333333333334,0.049111111111111105,0.827917208279172,n/a,300,n/a
all-MiniLM-L6-v2__whole_document,all-MiniLM-L6-v2,bm25__whole_document,mrr_at_10,False,-0.013890211640211642,-0.054530257936507946,0.026665608465608445,0.5196480351964804,n/a,300,n/a
bge-small-en-v1.5__fixed_window,bge-small-en-v1.5,bm25__whole_document,ndcg_at_10,True,0.05872079833423428,0.022155285497506394,0.09690288859850135,0.0025997400259974,0.012998700129987,300,significant
