run_id,retriever,chunking_strategy,query_id,recall_at_1,recall_at_5,recall_at_10,recall_at_20,ndcg_at_10,mrr_at_10,num_judged_relevant
bm25__whole_document,bm25,whole_document,1,0.0,0.0,0.0,0.0,0.0,0.0,1
bm25__whole_document,bm25,whole_document,3,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,5,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,13,0.0,0.0,0.0,0.0,0.0,0.0,1
bm25__whole_document,bm25,whole_document,36,0.0,0.0,0.5,0.5,0.21840743681816419,0.16666666666666666,2
bm25__whole_document,bm25,whole_document,42,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,48,0.0,1.0,1.0,1.0,0.6309297535714575,0.5,1
bm25__whole_document,bm25,whole_document,49,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,50,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,51,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,53,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,54,0.0,0.0,1.0,1.0,0.3562071871080222,0.16666666666666666,1
bm25__whole_document,bm25,whole_document,56,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,57,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,70,0.5,1.0,1.0,1.0,1.0,1.0,2
bm25__whole_document,bm25,whole_document,72,0.0,0.0,1.0,1.0,0.3010299956639812,0.1111111111111111,1
bm25__whole_document,bm25,whole_document,75,0.0,1.0,1.0,1.0,0.6309297535714575,0.5,1
bm25__whole_document,bm25,whole_document,94,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,99,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,100,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,113,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,115,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,118,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,124,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,127,0.0,1.0,1.0,1.0,0.5,0.3333333333333333,1
bm25__whole_document,bm25,whole_document,128,0.0,1.0,1.0,1.0,0.5,0.3333333333333333,1
bm25__whole_document,bm25,whole_document,129,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,130,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,132,0.0,0.0,0.0,0.0,0.0,0.0,1
bm25__whole_document,bm25,whole_document,133,0.0,0.2,0.2,0.6,0.13120507751234178,0.2,5
bm25__whole_document,bm25,whole_document,137,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,141,0.5,1.0,1.0,1.0,1.0,1.0,2
bm25__whole_document,bm25,whole_document,142,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,143,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,146,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,148,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,163,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,171,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,179,0.25,0.5,0.5,0.75,0.5855700749881525,1.0,4
bm25__whole_document,bm25,whole_document,180,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,183,0.0,0.0,1.0,1.0,0.31546487678572877,0.125,1
bm25__whole_document,bm25,whole_document,185,0.0,1.0,1.0,1.0,0.6309297535714575,0.5,1
bm25__whole_document,bm25,whole_document,198,0.0,1.0,1.0,1.0,0.5,0.3333333333333333,1
bm25__whole_document,bm25,whole_document,208,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,212,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,213,0.0,0.0,1.0,1.0,0.3562071871080222,0.16666666666666666,1
bm25__whole_document,bm25,whole_document,216,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,217,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,218,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,219,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,230,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,232,0.0,1.0,1.0,1.0,0.6309297535714575,0.5,1
bm25__whole_document,bm25,whole_document,233,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,236,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,237,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,238,0.0,0.0,0.0,1.0,0.0,0.0,1
bm25__whole_document,bm25,whole_document,239,0.0,0.0,0.0,0.0,0.0,0.0,1
bm25__whole_document,bm25,whole_document,248,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,249,0.0,1.0,1.0,1.0,0.6309297535714575,0.5,1
bm25__whole_document,bm25,whole_document,261,0.0,0.5,0.5,0.5,0.2640681225725909,0.25,2
bm25__whole_document,bm25,whole_document,268,0.0,1.0,1.0,1.0,0.6309297535714575,0.5,1
bm25__whole_document,bm25,whole_document,269,0.0,1.0,1.0,1.0,0.6309297535714575,0.5,1
bm25__whole_document,bm25,whole_document,274,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,275,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.46927872602275644,1.0,3
bm25__whole_document,bm25,whole_document,279,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,294,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,295,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,298,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,300,0.0,1.0,1.0,1.0,0.43067655807339306,0.25,1
bm25__whole_document,bm25,whole_document,303,0.0,1.0,1.0,1.0,0.6309297535714575,0.5,1
bm25__whole_document,bm25,whole_document,312,0.0,1.0,1.0,1.0,0.38685280723454163,0.2,1
bm25__whole_document,bm25,whole_document,314,0.0,1.0,1.0,1.0,0.5,0.3333333333333333,1
bm25__whole_document,bm25,whole_document,324,0.0,1.0,1.0,1.0,0.43067655807339306,0.25,1
bm25__whole_document,bm25,whole_document,327,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,338,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,343,0.0,1.0,1.0,1.0,0.6509209298071326,0.5,2
bm25__whole_document,bm25,whole_document,350,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,354,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,362,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,380,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,384,0.0,0.0,0.0,0.0,0.0,0.0,1
bm25__whole_document,bm25,whole_document,385,0.0,0.5,0.5,1.0,0.3065735963827292,0.3333333333333333,2
bm25__whole_document,bm25,whole_document,386,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,388,0.0,1.0,1.0,1.0,0.5,0.3333333333333333,1
bm25__whole_document,bm25,whole_document,399,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,410,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,411,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,415,0.0,1.0,1.0,1.0,0.38685280723454163,0.2,1
bm25__whole_document,bm25,whole_document,421,0.0,0.0,0.0,0.0,0.0,0.0,1
bm25__whole_document,bm25,whole_document,431,0.0,0.0,0.0,0.0,0.0,0.0,1
bm25__whole_document,bm25,whole_document,436,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,437,0.0,0.0,0.0,0.0,0.0,0.0,1
bm25__whole_document,bm25,whole_document,439,0.0,1.0,1.0,1.0,0.6309297535714575,0.5,1
bm25__whole_document,bm25,whole_document,440,0.0,1.0,1.0,1.0,0.6309297535714575,0.5,1
bm25__whole_document,bm25,whole_document,443,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,452,0.0,0.5,0.5,0.5,0.23719771276929622,0.2,2
bm25__whole_document,bm25,whole_document,475,0.0,0.0,0.0,1.0,0.0,0.0,1
bm25__whole_document,bm25,whole_document,478,0.0,1.0,1.0,1.0,0.6309297535714575,0.5,1
bm25__whole_document,bm25,whole_document,491,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,501,0.0,1.0,1.0,1.0,0.6309297535714575,0.5,1
bm25__whole_document,bm25,whole_document,502,0.0,0.0,0.0,0.0,0.0,0.0,1
bm25__whole_document,bm25,whole_document,507,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,508,0.0,0.0,0.0,0.0,0.0,0.0,1
bm25__whole_document,bm25,whole_document,513,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,514,0.0,0.0,0.0,1.0,0.0,0.0,1
bm25__whole_document,bm25,whole_document,516,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,517,0.0,0.0,0.0,0.0,0.0,0.0,1
bm25__whole_document,bm25,whole_document,521,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,525,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,527,0.0,1.0,1.0,1.0,0.6309297535714575,0.5,1
bm25__whole_document,bm25,whole_document,528,1.0,1.0,1.0,1.0,1.0,1.0,1
bm25__whole_document,bm25,whole_document,532,1.0,1.0,1.0,1.0,1.0,1.0,1
